onset	duration	sample	value
0.1626797097	100	162.6797	100 
300.1666851	100	300166.6851	101 
300.66	19.465	300660	boundary
300.7644155	100	300764.4155	102 
600.7664093	100	600766.4093	103 
601.259	130.601	601259	boundary
601.3493344	100	601349.3344	104 
601.3523418	100	601352.3418	105 
601.3563349	100	601356.3349	106 
601.3583365	100	601358.3365	109 
601.3759972	1	601375.9972	DIN1
603.5603363	100	603560.3363	105 
603.7633426	100	603763.3426	106 
603.7710053	1	603771.0053	DIN1
603.8233403	100	603823.3403	109 
606.2263347	100	606226.3347	105 
606.4173415	100	606417.3415	106 
606.4239983	1	606423.9983	DIN1
606.4773392	100	606477.3392	109 
608.8793378	100	608879.3378	105 
609.0703345	100	609070.3345	106 
609.0770015	1	609077.0015	DIN1
609.1303423	100	609130.3423	109 
611.4323414	100	611432.3414	105 
611.6203408	100	611620.3408	106 
611.6280035	1	611628.0035	DIN1
611.6803385	100	611680.3385	109 
614.0823371	100	614082.3371	105 
614.2733339	100	614273.3339	106 
614.2809966	1	614280.9966	DIN1
614.3333416	100	614333.3416	109 
616.5353413	100	616535.3413	105 
616.7203433	100	616720.3433	106 
616.727996	1	616727.996	DIN1
616.780341	100	616780.341	109 
619.1823396	100	619182.3396	105 
619.3743422	100	619374.3422	108 
619.3809991	1	619380.9991	DIN1
619.4343399	100	619434.3399	109 
621.6353438	100	621635.3438	105 
621.8213416	100	621821.3416	106 
621.8279985	1	621827.9985	DIN1
621.8813393	100	621881.3393	109 
624.1823427	100	624182.3427	105 
624.3713378	100	624371.3378	107 
624.3790005	1	624379.0005	DIN1
624.4313355	100	624431.3355	109 
626.8333341	100	626833.3341	105 
627.024341	100	627024.341	106 
627.0309978	1	627030.9978	DIN1
627.0843386	100	627084.3386	109 
629.2863383	100	629286.3383	105 
629.4713404	100	629471.3404	106 
629.4779972	1	629477.9972	DIN1
629.531338	100	629531.338	109 
631.8333372	100	631833.3372	105 
632.0213366	100	632021.3366	106 
632.0280035	1	632028.0035	DIN1
632.0813343	100	632081.3343	109 
634.3833435	100	634383.3435	105 
634.5723386	100	634572.3386	106 
634.5779997	1	634577.9997	DIN1
634.6313405	100	634631.3405	109 
636.9343355	100	636934.3355	105 
637.1223349	100	637122.3349	108 
637.1290018	1	637129.0018	DIN1
637.1823426	100	637182.3426	109 
639.5833354	100	639583.3354	105 
639.775338	100	639775.338	107 
639.7820049	1	639782.0049	DIN1
639.8353356	100	639835.3356	109 
642.2373343	100	642237.3343	105 
642.4283411	100	642428.3411	106 
642.4349979	1	642434.9979	DIN1
642.4883388	100	642488.3388	109 
644.8903374	100	644890.3374	105 
645.0813341	100	645081.3341	106 
645.0880011	1	645088.0011	DIN1
645.1413419	100	645141.3419	109 
647.3443374	100	647344.3374	105 
647.5283436	100	647528.3436	106 
